planned_run,run_id,condition,feature_id,requested_ids,passed_ids,pass_percent
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-012,2,2,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-013,2,1,50.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-014,2,2,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-015,1,0,0.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-016,3,2,66.66666666666667
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-017,2,0,0.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-018,3,3,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-019,3,3,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-020,4,1,25.0
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,F-001,4,4,100.0
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,F-002,4,2,50.0
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,F-003,2,0,0.0
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,F-004,3,2,66.66666666666667
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,F-005,2,1,50.0
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,F-006,6,6,100.0
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,F-007,3,2,66.66666666666667
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,F-008,4,4,100.0
